county,rel,n,dtr_all,dtr_sum,dtr_win,trop_days,note,summer,winter
고창군,1.0651051228687074,730,10.172610556348074,8.67625538020086,10.301264933239635,11.416666666666666,ASOS 자체,1.0279358749276342,1.062081365299979
군산시,0.9152795544681059,59,9.058244869072896,7.76072186836518,9.429985955056178,14.666666666666666,ASOS 자체,0.8855162527243909,1.0084950569450626
김제시,1.0028721335237183,3142,9.547779877184697,8.374539007092197,9.605832747716091,16.166666666666668,AWS 자체(김제 55m),1.0004099103988668,0.9944478841867371
남원시,1.0766734602244272,7526,11.339013452914799,9.426062322946176,11.783497191011236,5.416666666666667,ASOS 자체. 뱀사골(479m)은 산내면만 대표해 제외,1.083873309658626,1.0903101388632428
무주군,0.7111558961212441,866,12.595445965077866,10.866029723991508,12.838342696629214,1.1666666666666667,AWS 자체(무주 212m),0.7167403973199515,0.6677344427775147
부안군,0.9595081513587148,724,9.662278839348904,8.34423213021939,9.790379213483146,14.5,ASOS 자체,0.9468792215430957,0.939384034023367
순창군,1.0243381588498615,2562,11.530155733836716,9.803043170559093,11.827988748241914,5.0,ASOS 자체,1.0446013105725098,1.001323885547441
완주군,0.9046483220891629,7184,12.289292452830189,10.550955414012739,12.617134831460673,2.0833333333333335,AWS 자체(완주 64m),0.905802294470385,0.9074372070958745
익산시,1.0310704348649322,5613,11.367099669343409,9.493323863636364,11.750912921348315,8.75,AWS 자체(익산 11m),1.0237120267139164,1.0301706376052948
임실군,0.9772757581320859,539,11.950330188679244,9.876150035385704,12.391011235955055,0.9166666666666666,ASOS 자체,0.9996094695458541,0.9372969297326024
장수군,1.0547126303388372,5931,12.113791882963662,10.158457183297948,12.463106113843992,0.3333333333333333,ASOS 자체(장수 406m) + AWS 번암(292m) 평균,1.0416928921959994,1.0678126693813204
전주시,0.928429774614304,3086,9.752724699221515,8.576786978060863,9.785252808988764,18.583333333333332,ASOS 자체,0.9297910877829143,0.9113646541269532
정읍시,0.9347982971098744,448,10.216937957065346,9.16798866855524,9.983426966292136,11.416666666666666,ASOS 자체,0.8506168078278715,0.9939987823467387
진안군,1.0121579092463455,3038,12.639834905660377,10.608244869072895,12.994627808988763,0.4166666666666667,AWS 자체 2지점(진안 354m·동향 321m) 평균,1.0315814690206653,0.9630926362672328
